id|sessionId|recordedAt|authorDoctorId|summary|actionItems
f741dad4-9d81-4801-a6d2-b0cd878f4ed6|18742e6e-4c7f-468c-b48b-4b9c8e92fe44|2025-11-01T16:05:01.066072|6a305a49-b540-4016-907f-7297a22fa1cc|会议纪要19：总结重点讨论要点与分工。|行动项19：安排相关检查与复诊。
bf7205c0-81b6-4368-9d5b-b13661a00758|271005d7-85a5-4cc2-a4e6-5644105cdf2c|2025-11-01T16:05:01.066229|43f280ca-1ec9-4073-98eb-c106ebc62ea7|会议纪要20：总结重点讨论要点与分工。|行动项20：安排相关检查与复诊。
01bdd5cd-eefa-42c5-88bd-5675c5c20807|c7d41461-1045-4065-88a8-ebf944381a7b|2025-11-01T16:05:01.066395|9de08af5-77d3-4c97-ac02-399f93e90827|会议纪要21：总结重点讨论要点与分工。|行动项21：安排相关检查与复诊。
bd0a0f40-3d67-4604-aebe-5d57e6a98a10|1c559f71-82fe-4581-8820-56b7fe142816|2025-11-01T16:05:01.066560|1e6e7812-9cb9-4b3e-9112-2c6f29ea1961|会议纪要22：总结重点讨论要点与分工。|行动项22：安排相关检查与复诊。
d2a46d06-cd34-4230-af51-f7e97a75c257|e4a0e315-038b-4d0a-9463-f42674095501|2025-11-01T16:05:01.066774|009bd367-8530-4f43-b437-b467f66f6930|会议纪要23：总结重点讨论要点与分工。|行动项23：安排相关检查与复诊。
496dc774-47ac-48c6-9747-6f32b8eb5f97|9a059d16-3b9a-4b80-bb5e-89c542929f11|2025-11-01T16:05:01.066951|31e65942-1973-4025-bba0-c1c69fa21f53|会议纪要24：总结重点讨论要点与分工。|行动项24：安排相关检查与复诊。
86e8a286-1439-425f-896d-b0cdb66d820e|ad5ed8f7-b117-45df-844a-db0dccbab978|2025-11-01T16:05:01.067161|7ad821a4-0b2f-4bb6-85a2-6be7a329a1f1|会议纪要25：总结重点讨论要点与分工。|行动项25：安排相关检查与复诊。
68771550-ff6c-4eae-b960-5a40ec785673|83eab664-4602-4828-a0c1-9d3afe50449a|2025-11-01T16:05:01.067385|afb8a4ae-dcea-47bd-b668-3596f7d5e49d|会议纪要26：总结重点讨论要点与分工。|行动项26：安排相关检查与复诊。
96035a6d-4c88-45a7-8512-e90e61dcf13d|d7ad71f4-6eac-441b-a9ea-225a82939027|2025-11-01T16:05:01.067576|4c7adb47-d540-488c-bc2d-9b1c9f50a64a|会议纪要27：总结重点讨论要点与分工。|行动项27：安排相关检查与复诊。
62e9d6c4-60e6-4569-9981-be3d9fc56bfb|f69077f9-552a-4c40-88dd-c72447e2df8d|2025-11-01T16:05:01.067762|564fceb4-4ff0-4918-963f-1f5a2247fb4c|会议纪要28：总结重点讨论要点与分工。|行动项28：安排相关检查与复诊。
97f8ceb5-2608-4a5b-9fa8-4798e9303b30|621ee9dc-7e6d-40b6-be0d-ef4e0d143656|2025-11-01T16:05:01.067947|87db3859-6e28-401f-b035-6a8ca73057aa|会议纪要29：总结重点讨论要点与分工。|行动项29：安排相关检查与复诊。
970b1bd6-b19e-41ba-af57-53b890f44469|d143d40e-7cb2-4f02-a3da-f12de4c1558d|2025-11-01T16:05:01.068138|2b4936cb-089f-4379-92bd-82ab842c1688|会议纪要30：总结重点讨论要点与分工。|行动项30：安排相关检查与复诊。
